0,1,2
gdserver.sutpcgd.local,1.0,-1.0
www.shajing.gov.cn,1.0,-1.0
www.hunan.gov.cn,1.0,-1.0
www.jinxi.gov.cn,1.0,-1.0
msadsta03.staff.ad.curtin.edu.au,-1.0,-1.0
www.szwen.gov.cn,1.0,-1.0
www.bapx.gov.cn,1.0,-1.0
www.szwen.gov.cn,1.0,-1.0
ns2.szbts.gov.cn,1.0,-1.0
msadsta01.staff.ad.curtin.edu.au,-1.0,-1.0
www.shajing.gov.cn,1.0,-1.0
BRN30055C81C5A4.staff.ad.curtin.edu.au,-1.0,-1.0
msadsta03.staff.ad.curtin.edu.au,-1.0,-1.0
www.szgs.gov.cn,1.0,-1.0
www.gdczqts.gov.cn,1.0,-1.0
ns1.szpl.gov.cn,1.0,-1.0
NPI30AD2E.szcdc.com,-1.0,-1.0
www.rzhb.gov.cn,1.0,-1.0
www.hrblz.gov.cn,1.0,-1.0
lb._dns-sd._udp.expressvpn,-1.0,-1.0
nasfid01.staff.ad.griffith.edu.au,-1.0,-1.0
